img_id,Date_Ex,Racial_Res,Addition,Lot,Block,City,Doc_ID
aaaaa,aaaaaa,aaaaa,aaaaa,aaaaa,aaaaaa,aaaaa,aaaaaa
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,1,1,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,2,1,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,4,1,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,5,1,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,6,1,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,7,1,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,1,2,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,2,2,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,3,2,GOLDEN VALLEY,2402532
1687_0578_match.jpg,10/5/1946,"no person of any race other than of the Caucasian race shall use or occupy any building or any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",3RD ADDN TO GLENURBAN GOLDEN VALLEY,4,2,GOLDEN VALLEY,2402532
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,1,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,2,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,3,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,4,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,5,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,6,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,7,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,8,1,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,1,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,2,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,3,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,4,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,5,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,6,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,7,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,8,2,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,1,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,2,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,3,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,4,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,5,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,6,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,7,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,8,3,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,1,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,2,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,3,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,4,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,5,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,6,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,7,4,RICHFIELD,2114859
1494_0506_match.jpg,10/31/1941,"no person of any race other than the Caucasian race shall use or occupy any building on any lot, except that this covenant shall not prevent occupancy by domestic servants of a different race domiciled with an owner or tenant",ACADEMY TERRACE,8,4,RICHFIELD,2114859
824_0466_match.jpg,6/15/1917,"The said party of the of the second part hereby agrees that the premises hereby conveyed shall not at any time be conveyed, mortgaged or leased to any person or persons of Chinese, Japanese, Moorish, Turkish, Negro, Mongolian or African blood or descent. Said restrictions and covenants shall run with the land and any breach of any or either thereof shall work a forfeiture of title, which may be enforced by re-entry.",ACKLEYS ADDN TO SEVEN OAKS MPLS,13,1,MINNEAPOLIS,863720
820_0356_match.jpg,3/22/1917,"premises hereby conveyed shall not at any time be conveyed, mortgaged or leased to any person or persons of Chinese, Japanese, Moorish, Turkish, Negro, Mongolian or African blood or descent. Said restrictions and covenants shall run with the land and any breach of any or either thereof shall work a forfeiture of title, which may be enforced by re-entry.",ACKLEYS ADDN TO SEVEN OAKS MPLS,27,1,MINNEAPOLIS,841286
820_0337_match.jpg,3/1/1917,"premises hereby conveyed shall not at any time be conveyed, mortgaged or leased to any person or persons of Chinese, Japanese, Moorish, Turkish, Negro, Mongolian or African blood or descent. Said restrictions and covenants shall run with the land and any breach of any or either thereof shall work a forfeiture of title, which may be enforced by re-entry.",ACKLEYS ADDN TO SEVEN OAKS MPLS,7,1,MINNEAPOLIS,840338
820_0337_match.jpg,3/1/1917,"premises hereby conveyed shall not at any time be conveyed, mortgaged or leased to any person or persons of Chinese, Japanese, Moorish, Turkish, Negro, Mongolian or African blood or descent. Said restrictions and covenants shall run with the land and any breach of any or either thereof shall work a forfeiture of title, which may be enforced by re-entry.",ACKLEYS ADDN TO SEVEN OAKS MPLS,8,1,MINNEAPOLIS,840338
